cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength,,w/c,f/c,age,concrete_compressive_strength
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58,,1.38,0.77,7,14.59
289,0,0,192,0,913.2,895.3,3,11.65,,0.97,0.84,7,14.64
310,0,0,192,0,1012,830,3,11.85,,0.48,0.64,365,41.93
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96,,0.97,0.84,3,9.13
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98,,0.75,0.72,180,50.95
238,0,0,186,0,1119,789,7,12.05,,0.69,0.64,28,33.02
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18,,0.75,0.72,270,54.38
152,0,112,184,8,992,816,28,12.18,,0.86,0.72,270,51.73
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18,,0.62,0.88,3,9.87
200,0,0,180,0,1125,845,28,12.25,,1.2,0.72,270,50.66
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37,,0.86,0.72,180,48.7
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45,,0.67,0.72,270,55.06
155,0,143,193,9,1047,697,28,12.46,,1.38,0.77,360,44.7
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46,,0.69,0.64,7,30.28
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47,,1.2,0.72,28,40.86
307,0,0,193,0,968,812,3,12.54,,0.3,0.71,28,71.99
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55,,0.45,0.82,3,34.4
500,0,0,200,0,1125,613,1,12.64,,0.56,0.58,3,28.8
250,0,0,182,0,1100,820,7,12.73,,0.36,1.04,3,33.4
192,288,0,192,0,929.8,716.1,3,12.79,,0.36,0.86,3,36.3
236,0,0,194,0,968,885,14,12.84,,0.34,1.17,3,29
220.8,147.2,0,185.7,0,1055,744.3,7,13.09,,0.38,0.92,3,37.8
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12,,0.29,0.99,3,40.2
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18,,0.36,1.04,3,33.4
145,0,134,181,11,979,812,28,13.20,,0.41,1.09,3,28.1
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.20,,0.27,1.05,3,41.3
339,0,0,197,0,968,781,3,13.22,,0.36,1.04,3,33.4
135,0,166,180,10,961,805,28,13.29,,0.49,1.03,3,25.2
134.7,0,165.7,180.2,10,961,804.9,28,13.29,,0.37,0.9,3,41.1
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33,,0.45,0.8,3,35.3
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36,,0.57,0.7,3,28.3
284,15,141,179,5.5,842,801,3,13.40,,0.41,0.53,3,28.6
151,0,185,167,16,1074,678,28,13.46,,0.45,0.8,3,35.3
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46,,0.51,0.8,3,24.4
331,0,0,192,0,978,825,3,13.52,,0.45,0.8,3,35.3
331,0,0,192,0,879,825,3,13.52,,0.42,0.8,3,39.3
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54,,0.37,0.8,3,40.6
236,157,0,192,0,972.6,749.1,3,13.57,,0.45,0.8,3,35.3
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62,,0.52,0.8,3,24.1
133,200,0,192,0,927.4,839.2,7,13.66,,0.45,0.82,7,46.2
252,0,0,185,0,1111,784,7,13.71,,0.56,0.58,7,42.8
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82,,0.36,1.04,7,49.2
305.3,203.5,0,203.5,0,965.4,631,3,14.14,,0.36,0.86,7,46.8
275,0,0,183,0,1088,808,7,14.20,,0.34,1.17,7,45.7
296,0,0,192,0,1085,765,7,14.20,,0.38,0.92,7,55.6
331,0,0,192,0,1025,821,3,14.31,,0.29,0.99,7,54.9
165,0,143.6,163.8,0,1005.6,900.9,3,14.40,,0.36,1.04,7,49.2
281,0,0,186,0,1104,774,7,14.50,,0.41,1.09,7,34.9
381.4,0,0,185.7,0,1104.6,784.3,7,14.54,,0.27,1.05,7,46.9
139.6,209.4,0,192,0,1047,806.9,7,14.59,,0.36,1.04,7,49.2
289,0,0,192,0,913.2,895.3,7,14.60,,0.49,1.03,7,33.4
198.6,132.4,0,192,0,978.4,825.5,7,14.64,,0.37,0.9,7,54.1
385,0,0,186,0,966,763,3,14.70,,0.45,0.8,7,55.9
295,0,0,185,0,1069,769,7,14.80,,0.57,0.7,7,49.8
295.8,0,0,185.7,0,1091.4,769.3,7,14.84,,0.41,0.53,7,47.1
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94,,0.45,0.8,7,55.9
349,0,0,192,0,1047,806,3,14.99,,0.51,0.8,7,38
310,0,0,192,0,970,850,7,14.99,,0.45,0.8,7,55.9
212,141.3,0,203.5,0,973.4,750,7,15.03,,0.42,0.8,7,56.1
190.7,0,125.4,162.1,7.8,1090,804,3,15.04,,0.37,0.8,7,59.09
349,0,0,192,0,1047,806.9,3,15.05,,0.45,0.8,7,22.9
202,11,141,206,1.7,942,801,7,15.07,,0.52,0.8,7,35.1
164,0,200,181,13,849,846,28,15.09,,0.45,0.82,28,61.09
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09,,0.56,0.58,28,59.8
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34,,0.36,1.04,28,60.29
144,15,195,176,6,1021,709,28,15.34,,0.36,0.86,28,61.8
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36,,0.34,1.17,28,56.7
144,0,175,158,18,943,844,28,15.42,,0.38,0.92,28,68.3
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42,,0.29,0.99,28,66.9
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44,,0.36,1.04,28,60.29
167,75.4,167,164,7.9,1007.3,770.1,3,15.52,,0.41,1.09,28,50.7
148,0,182,181,15,839,884,28,15.52,,0.27,1.05,28,56.4
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53,,0.36,1.04,28,60.29
151,0,184,167,12,991,772,28,15.57,,0.49,1.03,28,55.5
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57,,0.37,0.9,28,68.5
300,0,0,184,0,1075,795,7,15.58,,0.45,0.8,28,71.3
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61,,0.57,0.7,28,74.7
333,0,0,192,0,931.2,842.6,3,15.62,,0.41,0.53,28,52.2
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69,,0.45,0.8,28,71.3
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75,,0.51,0.8,28,67.7
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82,,0.45,0.8,28,71.3
349,0,0,192,0,1056,809,3,15.87,,0.42,0.8,28,66
288,192,0,192,0,932,717.8,3,16.11,,0.37,0.8,28,74.5
331,0,0,192,0,978,825,7,16.26,,0.45,0.8,28,71.3
376,0,0,214.6,0,1003.5,762.4,3,16.28,,0.52,0.8,28,49.9
154,144,112,220,10,923,658,28,16.50,,0.45,0.82,56,63.4
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.50,,0.56,0.58,56,64.9
165,0,143.6,163.8,0,1005.6,900.9,14,16.88,,0.36,1.04,56,64.3
157,236,0,192,0,935.4,781.2,7,16.89,,0.36,0.86,56,64.9
200,133,0,192,0,965.4,806.2,7,17.17,,0.34,1.17,56,60.2
193.5,290.2,0,185.7,0,998.2,704.3,7,17.20,,0.38,0.92,56,72.3
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22,,0.29,0.99,56,69.3
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24,,0.36,1.04,56,64.3
310,0,0,192,0,1012,830,7,17.24,,0.41,1.09,56,55.2
102,153,0,192,0,887,942,28,17.28,,0.27,1.05,56,58.8
225,0,0,181,0,1113,833,28,17.34,,0.36,1.04,56,64.3
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37,,0.49,1.03,56,66.1
331,0,0,192,0,1025,821,7,17.44,,0.37,0.9,56,73.7
325,0,0,184,0,1063,783,7,17.54,,0.45,0.8,56,77.3
238,0,0,186,0,1119,789,28,17.54,,0.57,0.7,56,80.2
238,0,0,185,0,1118,789,28,17.54,,0.41,0.53,56,54.9
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57,,0.45,0.8,56,77.3
238.1,0,0,185.7,0,1118.8,789.3,28,17.58,,0.51,0.8,56,72.99
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.60,,0.45,0.8,56,77.3
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,,0.42,0.8,56,71.7
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84,,0.37,0.8,56,79.4
148,0,137,158,16,1002,830,28,17.95,,0.45,0.8,56,77.3
153,102,0,192,0,888,943.1,28,17.96,,0.52,0.8,56,59.89
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96,,0.45,0.82,91,64.9
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.00,,0.56,0.58,91,66.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02,,0.36,1.04,91,65.2
165,0,150,182,12,1023,729,28,18.03,,0.36,0.86,91,66.7
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03,,0.34,1.17,91,62.5
350,0,0,203,0,974,775,7,18.13,,0.38,0.92,91,74.19
349,0,0,192,0,1047,806,7,18.13,,0.29,0.99,91,70.7
302,0,0,203,0,974,817,14,18.13,,0.36,1.04,91,65.2
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.20,,0.41,1.09,91,57.6
155,183,0,193,9,1047,697,28,18.28,,0.27,1.05,91,59.2
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29,,0.36,1.04,91,65.2
236,0,0,194,0,968,885,28,18.42,,0.49,1.03,91,68.1
255,0,0,192,0,889.8,945,28,18.75,,0.37,0.9,91,75.5
296,0,0,186,0,1090,769,7,18.91,,0.45,0.8,91,79.3
153,145,0,178,8,1000,822,28,19.01,,0.41,0.53,91,56.5
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01,,0.45,0.8,91,79.3
393,0,0,192,0,940,758,3,19.11,,0.51,0.8,91,76.8
393,0,0,192,0,940.6,785.6,3,19.20,,0.45,0.8,91,79.3
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35,,0.42,0.8,91,73.3
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42,,0.37,0.8,91,82.6
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42,,0.45,0.8,91,79.3
212,0,124.8,159,7.8,1085.4,799.5,3,19.52,,0.52,0.8,91,67.8
203.5,305.3,0,203.5,0,963.4,630,7,19.54,,0.85,0.9,3,11.58
252,0,0,185,0,1111,784,28,19.69,,0.85,0.9,14,24.45
252,0,0,185,0,1111,784,28,19.69,,0.85,0.9,28,24.89
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77,,0.85,0.9,56,29.45
252.5,0,0,185.7,0,1111.6,784.3,28,19.77,,0.85,0.9,100,40.71
238.1,0,94.1,186.7,7,949.9,847,3,19.93,,0.85,0.9,3,10.38
147,115,89,202,9,860,829,28,19.99,,0.85,0.9,14,22.14
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99,,0.85,0.9,28,22.84
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08,,0.85,0.9,56,27.66
350,0,0,186,0,1050,770,7,20.28,,0.85,0.9,100,34.56
236,157,0,192,0,972.6,749.1,7,20.42,,0.85,0.9,3,12.45
108.3,162.4,0,203.5,0,938.2,849,28,20.59,,0.85,0.9,14,24.99
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,,0.85,0.9,28,25.72
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73,,0.85,0.9,56,33.96
322,0,0,203,0,974,800,14,20.77,,0.85,0.9,100,37.34
250,0,0,182,0,1100,820,28,20.87,,0.85,0.74,3,15.04
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92,,0.85,0.74,14,21.06
339,0,0,197,0,968,781,7,20.97,,0.85,0.74,28,26.4
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02,,0.85,0.74,56,35.34
190.7,0,125.4,162.1,7.8,1090,804,14,21.06,,0.85,0.74,100,40.57
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07,,0.85,0.74,3,12.47
339,0,0,185,0,1069,754,7,21.16,,0.85,0.74,14,20.92
339.2,0,0,185.7,0,1069.2,754.3,7,21.18,,0.85,0.74,28,24.9
277,0,0,191,0,968,856,14,21.26,,0.85,0.74,56,34.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29,,0.85,0.74,100,39.61
192,288,0,192,0,929.8,716.1,7,21.48,,0.85,0.74,3,10.03
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.50,,0.85,0.74,14,20.08
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54,,0.85,0.74,28,24.48
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.60,,0.85,0.74,56,31.54
296,0,0,192,0,1085,765,28,21.65,,0.85,0.74,100,35.34
302,0,0,203,0,974,817,28,21.75,,0.85,0.74,3,9.45
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78,,0.85,0.74,14,22.72
210.7,316.1,0,185.7,0,977,689.3,7,21.82,,0.85,0.74,28,28.47
255,0,0,192,0,889.8,945,90,21.86,,0.85,0.74,56,38.56
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86,,0.85,0.74,100,40.39
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91,,1.06,0.74,3,10.76
135,105,193,196,6,965,643,28,21.91,,1.06,0.74,14,25.48
228,342.1,0,185.7,0,955.8,674.3,7,21.92,,1.06,0.74,28,21.54
236,0,0,194,0,968,885,90,21.95,,1.06,0.74,56,28.63
202,11,141,206,1.7,942,801,28,21.97,,1.06,0.74,100,33.54
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14,,0.73,0.74,3,7.75
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32,,0.73,0.74,14,17.82
116,173,0,192,0,909.8,891.9,28,22.35,,0.73,0.74,28,24.24
281,0,0,185,0,1104,774,28,22.44,,0.73,0.74,56,32.85
281,0,0,186,0,1104,774,28,22.44,,0.73,0.74,100,39.23
381.4,0,0,185.7,0,1104.6,784.3,28,22.49,,0.85,0.74,3,18
290.4,0,96.2,168.1,9.4,961.2,865,3,22.50,,0.85,0.74,14,30.39
350,0,0,203,0,974,775,14,22.53,,0.85,0.74,28,45.71
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63,,0.85,0.74,56,50.77
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72,,0.85,0.74,100,53.9
387,20,94,157,14.3,938,845,3,22.75,,0.85,0.74,3,13.18
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84,,0.85,0.74,14,17.84
362.6,189,0,164.9,11.6,944.7,755.8,7,22.90,,0.85,0.74,28,40.23
184,86,190,213,6,923,623,28,22.93,,0.85,0.74,56,47.13
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95,,0.85,0.74,100,49.97
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08,,0.85,0.74,3,13.36
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14,,0.85,0.74,14,22.32
385,0,0,186,0,966,763,7,23.22,,0.85,0.74,28,24.54
202,11,141,206,1.7,942,801,56,23.25,,0.85,0.74,56,31.35
446,24,79,162,11.6,967,712,3,23.35,,0.85,0.74,100,40.86
333,0,0,192,0,931.2,842.6,7,23.40,,0.78,0.89,3,19.93
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,,0.78,0.89,14,25.69
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52,,0.78,0.89,28,30.23
288,192,0,192,0,932,717.8,7,23.52,,0.78,0.89,56,39.59
149,118,92,183,7,953,780,28,23.52,,0.78,0.89,100,44.3
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52,,0.75,0.9,3,13.82
359,19,141,154,10.9,942,801,3,23.64,,0.75,0.9,14,24.92
149,139,109,193,6,892,780,28,23.69,,0.75,0.9,28,29.22
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.70,,0.75,0.9,56,38.33
146,173,0,182,3,986,817,28,23.74,,0.75,0.9,100,42.35
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74,,0.75,0.9,3,13.54
155,183,0,193,9,877,868,28,23.79,,0.75,0.9,14,26.31
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79,,0.75,0.9,28,31.64
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.80,,0.75,0.9,56,42.55
300,0,120,212,10,878,728,28,23.84,,0.75,0.9,100,42.92
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84,,0.75,0.9,3,13.33
436,0,0,218,0,838.4,719.7,28,23.85,,0.75,0.9,14,25.37
167,187,195,185,7,898,636,28,23.89,,0.75,0.9,28,37.4
382,0,0,186,0,1047,739,7,24.00,,0.75,0.9,56,44.4
382,0,0,185,0,1047,739,7,24.00,,0.75,0.9,100,47.74
183.9,122.6,0,203.5,0,959.2,800,28,24.05,,0.75,0.74,3,19.52
382.5,0,0,185.7,0,1047.8,739.3,7,24.07,,0.75,0.74,14,31.35
337.9,189,0,174.9,9.5,944.7,755.8,3,24.10,,0.75,0.74,28,38.5
236,0,0,193,0,968,885,180,24.10,,0.75,0.74,56,45.08
284,15,141,179,5.5,842,801,7,24.13,,0.75,0.74,100,47.82
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,,0.75,0.74,3,15.44
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28,,0.75,0.74,14,26.77
173,116,0,192,0,946.8,856.8,28,24.28,,0.75,0.74,28,33.73
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29,,0.75,0.74,56,42.7
154,174,185,228,7,845,612,28,24.34,,0.75,0.74,100,45.84
480,0,0,192,0,936,721,3,24.39,,0.75,0.74,3,17.22
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.40,,0.75,0.74,14,29.93
480,0,0,192,0,936.2,712.2,3,24.40,,0.75,0.74,28,29.65
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43,,0.75,0.74,56,36.97
316.1,210.7,0,185.7,0,977,689.3,7,24.44,,0.75,0.74,100,43.58
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45,,0.75,0.74,3,13.12
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48,,0.75,0.74,14,24.43
275,0,0,183,0,1088,808,28,24.50,,0.75,0.74,28,32.66
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54,,0.75,0.74,56,36.64
149,153,194,192,8,935,623,28,24.58,,0.75,0.74,100,44.21
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66,,0.93,0.74,3,13.62
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85,,0.93,0.74,14,21.6
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89,,0.93,0.74,28,27.77
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.90,,0.93,0.74,56,35.57
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92,,0.93,0.74,100,45.37
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99,,0.94,0.74,3,7.32
446,24,79,162,11.6,967,712,3,25.02,,0.94,0.74,14,21.5
236,0,0,193,0,968,885,365,25.08,,0.94,0.74,28,31.27
313,0,0,178,8,1000,822,28,25.10,,0.94,0.74,56,43.5
312.7,0,0,178.1,8,999.7,822.2,28,25.10,,0.94,0.74,100,48.67
359,19,141,154,10.9,942,801,3,25.12,,0.94,0.74,3,7.4
296,0,0,186,0,1090,769,28,25.18,,0.94,0.74,14,23.51
295,0,0,185,0,1069,769,28,25.18,,0.94,0.74,28,31.12
322,0,0,203,0,974,800,28,25.18,,0.94,0.74,56,39.15
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.20,,0.94,0.74,100,48.15
295.8,0,0,185.7,0,1091.4,769.3,28,25.22,,0.58,0.9,3,22.5
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37,,0.58,0.9,14,34.67
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42,,0.58,0.9,28,34.74
397,0,0,185.7,0,1040.6,734.3,7,25.45,,0.58,0.9,56,45.08
102,153,0,192,0,887,942,90,25.46,,0.58,0.9,100,48.97
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48,,0.58,0.9,3,23.14
387,20,94,157,13.9,938,845,3,25.51,,0.58,0.9,14,41.89
153,145,113,178,8,1002,689,28,25.56,,0.58,0.9,28,48.28
153.1,145,113,178.5,8,1001.9,688.7,28,25.56,,0.58,0.9,56,51.04
289,0,0,192,0,913.2,895.3,28,25.57,,0.58,0.9,100,55.64
491,26,123,210,3.9,882,699,3,25.61,,0.58,0.9,3,22.95
376,0,0,214.6,0,1003.5,762.4,14,25.62,,0.58,0.9,14,35.23
238.1,0,94.1,186.7,7,949.9,847,14,25.69,,0.58,0.9,28,39.94
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72,,0.58,0.9,56,48.72
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73,,0.58,0.9,100,52.04
220.8,147.2,0,185.7,0,1055,744.3,28,25.75,,0.58,0.89,3,21.02
305.3,203.5,0,203.5,0,965.4,631,7,25.89,,0.58,0.89,14,33.36
277,0,0,191,0,968,856,28,25.97,,0.58,0.89,28,33.94
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05,,0.58,0.89,56,44.14
375,0,0,186,0,1038,758,7,26.06,,0.58,0.89,100,45.37
500,0,0,200,0,1125,613,3,26.06,,0.63,0.9,3,15.36
144,136,106,178,7,941,774,28,26.14,,0.63,0.9,14,28.68
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15,,0.63,0.9,28,30.85
165,0,143.6,163.8,0,1005.6,900.9,28,26.20,,0.63,0.9,56,42.03
153,145,113,178,8,867,824,28,26.23,,0.63,0.9,100,51.06
153.1,145,113,178.5,8,867.2,824,28,26.23,,0.58,0.9,3,21.78
237.5,237.5,0,228,0,932,594,7,26.26,,0.58,0.9,14,42.29
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31,,0.58,0.9,28,50.6
153,102,0,192,0,888,943.1,90,26.32,,0.58,0.9,56,55.83
190.7,0,125.4,162.1,7.8,1090,804,28,26.40,,0.58,0.9,100,60.95
302,0,0,203,0,974,817,180,26.74,,0.58,0.74,3,23.52
